noise,strategy,mean_total,std_total
0.0,AllC,4679070.717305427,0.0
0.0,AllD,188737.3868646742,0.0
0.0,ContriteTfT,4137627.5705556506,0.0
0.0,GenerousTfT,4594341.866185026,0.0
0.0,Grim,4035641.813883487,0.0
0.0,Pavlov,4064501.984507124,0.0
0.0,Random,517165.27975868277,0.0
0.0,SuspiciousTfT,1879911.6772809888,0.0
0.0,TFT2,4634317.185701627,0.0
0.0,TfT,4137627.5705556506,0.0
0.01,AllC,3608399.894337761,249913.57233949352
0.01,AllD,181693.5771919164,8268.276759300255
0.01,ContriteTfT,2232724.162094585,267646.6216998633
0.01,GenerousTfT,3211170.656351289,220253.3236696242
0.01,Grim,643792.7258962004,344056.6440991999
0.01,Pavlov,1609236.5066532304,273075.2967506576
0.01,Random,505287.227132218,14038.832592135464
0.01,SuspiciousTfT,1762036.3657488164,207051.2889489854
0.01,TFT2,3509475.150927589,230205.0301550128
0.01,TfT,2061191.762952609,299356.8595786624
0.05,AllC,2793258.770735032,93725.24652675164
0.05,AllD,159326.18484961957,12645.686526415762
0.05,ContriteTfT,1472006.9776162987,109358.14212349245
0.05,GenerousTfT,1725912.934389113,119365.9783129287
0.05,Grim,195572.08800322132,40317.15377021474
0.05,Pavlov,855467.8732051873,103241.26504690261
0.05,Random,470104.32460030593,26277.57256382318
0.05,SuspiciousTfT,1225503.484017953,129466.73664646945
0.05,TFT2,2625873.081878604,125347.92515627618
0.05,TfT,1286540.1769618948,119985.96198624434
0.1,AllC,2121189.4603678067,101414.78065949967
0.1,AllD,142171.75224189754,13327.684576895186
0.1,ContriteTfT,1088799.7549882925,90566.88371902147
0.1,GenerousTfT,1163530.4468714294,112479.46176785989
0.1,Grim,157143.9981924874,19789.25652193307
0.1,Pavlov,619536.8426014197,62051.1354909258
0.1,Random,430265.9331532523,30958.717489199356
0.1,SuspiciousTfT,899771.9049071675,97638.28337782026
0.1,TFT2,1843951.2052298866,130412.71637536527
0.1,TfT,905175.2533613467,97997.98924483883
0.2,AllC,1223229.002398042,68420.70118882407
0.2,AllD,140631.67952648696,12451.863352116681
0.2,ContriteTfT,677643.8986544741,61941.82789627758
0.2,GenerousTfT,657621.8131869115,61666.57920546865
0.2,Grim,145308.4200341493,16678.85999108477
0.2,Pavlov,444848.88443983294,38159.24922300481
0.2,Random,376957.0742133121,29335.0035059678
0.2,SuspiciousTfT,552392.901732016,60690.05785224845
0.2,TFT2,965545.2503409076,74315.1326896456
0.2,TfT,557387.1980799852,56925.17433200544
